"x","y"
18415.6438157175,34018.9731133399
29281.4796181376,19426.7306490145
29294.5958116809,19411.9613452853
29291.2304140459,19424.5120956222
29285.4382126759,19415.9786056036
13634.6223790367,28357.2065753686
42151.0489348557,35137.6898514514
42170.7070145094,35138.7509885937
42161.7649211449,35149.932568497
42160.7829379241,35139.9809088871
26606.228432455,28603.9959349654
26594.017664901,28586.8257344434
26611.8863072131,28594.8512798192
26593.9874485184,28598.4925720353
26602.1248607325,28592.6800675757
38111.9396009443,29479.1519190723
38244.3544197579,20314.2778042893
20645.3799570669,9045.32117264532
28106.8482114765,36170.245494091
22383.846037223,25141.2801367803
22379.8890078885,25150.4639224292
21497.0705475044,29888.0519937138
39011.1664628472,27259.1944958923
30626.1996862521,30476.7710662471
30626.9267430509,30454.0356215661
30635.0425661925,30472.043260869
30629.5534238451,30463.6844740976
16823.4016810428,11277.854764298
7284.7944762561,35653.1883961519
31668.9652784156,20351.5928436277
31794.7667419556,10559.1475136294
14773.1647774026,36571.5295154915
14783.4468969347,36554.4370836573
14777.6810673431,36562.6074697633
24545.0672566112,20078.3508857349
13171.5701086641,13193.7348114496
13185.0137826293,13197.5366483003
13180.1320713399,13188.5683043958
12021.0775900008,34359.9391609975
12032.8940033982,34367.1974023147
12023.2087500347,34369.7094300271
19881.2975197139,35892.9084106958
19893.1123081232,35910.0098225906
19892.2235138414,35892.5275515631
19881.7132669442,35909.419712025
19887.837312977,35901.5142774394
37884.4700835446,20947.1399130199
37874.4926978723,20947.8120552268
20945.956522376,29576.0082209568
27351.7280444792,31751.3489084117
14719.4038220905,24556.7014363747
14704.2068112039,24548.6281450716
14712.6217461421,24566.6368160103
14709.4145828969,24557.1650630618
32035.6597104214,20977.2585996827
33300.6825306101,18774.7991553853
33308.5940792155,18756.4761894597
33295.7472365255,18762.3028712188
33305.2325716915,18765.8942713858
11486.481665922,34694.5845630414
11474.4165110005,34689.7415230275
11483.5414429493,34685.0265861061
32656.0416425759,33298.6811302217
23583.1952324846,11556.5342573504
23581.2852894129,11546.7183459071
35185.1824179396,28865.2413624127
19847.1460896574,27054.1035702071
19830.1596033798,27049.0370974714
19837.3291611068,27056.0082785396
27628.4321224543,16584.5802282742
7646.54760010811,35022.2989926987
43628.8312829575,35126.8839310331
43615.1569425926,35139.5423733476
43624.4616446303,35135.8787217971
14407.9201585249,35923.0533234938
14410.0686006862,35942.8222360503
14414.1599311252,35930.867748482
14404.5608239988,35934.4757160592
22482.2276552081,10926.1853391829
17951.6700090361,16956.299302084
8946.20681097797,39128.0033288446
8949.60372389901,39118.5979589632
28837.6798410281,35530.2717130579
28828.1059734022,35533.1598021633
13991.8094213471,26453.8265988691
30195.0558060476,18460.7224431009
30197.2602648672,18470.4764351715
20884.0512998311,18835.4173512604
36589.7190385099,18746.8783401518
23984.3466998363,16598.9300747857
23975.21718169,16603.0107314033
28613.5364265516,29529.2593623572
33031.1485754375,34567.7585279558
33023.9753978331,34560.7910662188
21162.0215223912,35577.1144805991
17895.9192606357,38126.7625664067
17889.1011727605,38119.4472620572
17880.1208443788,36227.9104002987
18726.6430322964,23274.9810574038
18716.6960243426,23276.0091743313
21877.5747008226,32412.0525242019
19838.9127287702,27687.2641821785
10614.5348942538,11948.4291380145
10617.0922547573,11938.7616715804
25462.5432137841,22289.7427232416
25472.1841010722,22275.703965639
